Date,2024-12-04 18:44:22
Measurement Type,RT
sensorName,['NONE', 'A'],sensorCount,2,heaterCount,1,tInt,2,tPoints,100,aver,1,RESaver,1,RESNPLC,5,RESrange,auto,chanVar,1,resType,PY_VAR8,RTD,True,
Time,A,Resistance
1536.0,369.3891358.7919
1538.0,369.1819358.7922
1540.0,369.1127358.7941
1542.0,368.9055358.7967
1544.0,368.9055358.8006
1546.0,368.5598358.8069
1548.0,368.3181358.8182
1550.0,368.5944358.8246
1552.0,368.6981358.8361
1554.0,369.32358.8471
1556.0,369.5618358.8531
1558.0,369.5965358.8512
1560.0,369.5965358.8527
1562.0,369.3891358.8546
1564.0,369.2163358.857
1566.0,369.1819358.8637
1568.0,368.9055358.8701
1570.0,368.8017358.8732
1572.0,368.4562358.8738
1574.0,368.4908358.8856
1576.0,368.387358.8956
1578.0,368.6981358.909
1580.0,369.078358.919
1582.0,369.32358.9255
1584.0,369.4238358.9333
1586.0,369.5965358.9337
1588.0,369.3891358.9372
1590.0,369.32358.9351
1592.0,369.0089358.9357
1594.0,368.8363358.941
1596.0,368.7325358.9389
1598.0,368.4562358.9537
1600.0,368.4908358.9614
1602.0,368.5944358.9699
1604.0,368.9055358.9832
1606.0,369.3891358.9886
1608.0,369.631358.9962
1610.0,369.6657359.0023
1612.0,369.5965359.0052
1614.0,369.6657359.0
1616.0,369.4582358.9954
1618.0,369.3891358.9933
1620.0,368.9055359.0021
1622.0,368.9055358.9993
1624.0,368.6634359.008
1626.0,368.8017359.0099
1628.0,368.4217359.017
1630.0,368.5253359.0259
1632.0,369.078359.0436
1634.0,369.32359.0489
1636.0,369.32359.0553
1638.0,369.3546359.053
1640.0,369.2163359.0575
1642.0,369.0436359.0576
1644.0,368.9744359.0555
1646.0,368.5944359.0558
1648.0,368.6981359.0655
1650.0,368.5598359.0767
1652.0,368.4217359.0857
1654.0,368.7325359.0941
1656.0,369.3891359.1301
1658.0,369.5618359.1354
1660.0,369.631359.1386
1662.0,369.7346359.1376
1664.0,369.942359.1399
1666.0,369.5618359.1381
1668.0,369.4929359.142
1670.0,369.1472359.1395
1672.0,368.9744359.1444
1674.0,368.9055359.1437
1676.0,368.5598359.1524
1678.0,368.2834359.1619
1680.0,368.4908359.1713
1682.0,368.8708359.1835
1684.0,369.2508359.2016
1686.0,369.4929359.2031
1688.0,369.5965359.2093
1690.0,369.5274359.2108
1692.0,369.3546359.2177
1694.0,369.2508359.2107
1696.0,369.0436359.2131
1698.0,368.9055359.2136
1700.0,368.5598359.2228
1702.0,368.4562359.2253
1704.0,368.6981359.2414
1706.0,368.767359.2464
1708.0,369.2508359.2544
1710.0,369.4238359.2662
1712.0,369.5274359.2658
1714.0,369.2508359.2707
1716.0,369.1819359.2707
1718.0,369.1127359.2717
1720.0,368.6634359.2746
1722.0,368.8708359.2855
1724.0,368.2834359.2851
1726.0,368.5253359.291
1728.0,368.6289359.301
1730.0,368.767359.316
1732.0,369.32359.3218
1734.0,369.3891359.3313
1736.0,369.6657359.3357
1738.0,369.5965359.3401
1740.0,369.3891359.3376
1742.0,369.2855359.3435
1744.0,369.0089359.3454
1746.0,368.8017359.3525
